Control No.,date,class_ID,student_ID,status
1,5/1/25,MATH101-S1-2025,2021-00002-SD-0,Present
2,5/1/25,MATH101-S1-2025,2024-00003-SD-0,Late
3,5/1/25,PHYS201-S1-2025,2021-00002-SD-0,Absent
4,5/1/25,PHYS201-S1-2025,2022-00005-SD-0,Present
5,,GEED005-S1-2025,2020-00007-SD-0,Present
6,,CMPE103-S1-2025,2021-00009-SD-0,Present
7,,CMPE105-S1-2025,2021-00009-SD-0,Late
8,,STAT012-S1-2025,2025-00010-SD-0,Present
9,,GEED001-S1-2025,2025-00010-SD-0,Absent
10,,GEED007-S1-2025,2025-00010-SD-0,Absent
11,,PATHFIT2-S1-2025,2023-00013-SD-0,Late
12,,GEED006-S1-2025,2023-00013-SD-0,Late
13,,CWTS002-S1-2025,2025-00014-SD-0,Absent
14,,CMPE303-S1-2025,2022-00020-SD-0,Absent
15,,CMPE304-S1-2025,2022-00020-SD-0,Present
16,,CMPE401-S1-2025,2021-00021-SD-0,Present
17,,CMPE402-S1-2025,2021-00021-SD-0,Present
18,,CMPE305-S1-2025,2022-00023-SD-0,Present
19,,CMPE306-S1-2025,2022-00023-SD-0,Present
20,,ECEN011-S1-2025,2022-00023-SD-0,Present
21,,CMPE201-S1-2025,2023-00024-SD-0,Absent
22,,PATHFIT3-S1-2025,2023-00024-SD-0,Present
23,,MATH209-S1-2025,2023-00024-SD-0,Late
24,,ENSC121-S1-2025,2023-00024-SD-0,Absent
25,,ECEN011-S1-2025,2022-00026-SD-0,Present
26,,ENSC121-S1-2025,2023-00027-SD-0,Present
27,,MATH209-S1-2025,2023-00027-SD-0,Late
28,,CMPE401-S1-2025,2021-00028-SD-0,Late
29,,CMPE402-S1-2025,2021-00028-SD-0,Present
30,,MATH101-S1-2025,2025-00029-SD-0,Present
31,,CMPE103-S1-2025,2025-00029-SD-0,Present
32,,GEED005-S1-2025,2025-00029-SD-0,Late
33,,MATH103-S1-2025,2025-00032-SD-0,Present
34,,CHEM015-S1-2025,2025-00032-SD-0,Late
35,,CMPE203-S1-2025,2024-00033-SD-0,Present
36,,CMPE305-S1-2025,2022-00035-SD-0,Late
37,,CMPE306-S1-2025,2022-00035-SD-0,Present
38,,ECEN011-S1-2025,2022-00035-SD-0,Present
39,,CMPE306-S1-2025,2022-00036-SD-0,Absent
40,,CMPE305-S1-2025,2022-00036-SD-0,Present
41,,ENGL013-S1-2025,2024-00039-SD-0,Present
42,,CMPE201-S1-2025,2024-00039-SD-0,Present
43,,CMPE405-S1-2025,2020-00042-SD-0,Late
44,,CMPE405-S1-2025,2020-00043-SD-0,Absent
45,,GEED004-S1-2025,2025-00045-SD-0,Absent
46,,CMPE104-S1-2025,2025-00045-SD-0,Late
47,,GEED004-S1-2025,2025-00047-SD-0,Present
48,,CMPE104-S1-2025,2025-00047-SD-0,Present
49,,CMPE405-S1-2025,2020-00049-SD-0,Present
50,,CMPE404-S1-2025,2020-00049-SD-0,Present
51,,CMPE405-S1-2025,2021-00050-SD-0,Late
52,,CMPE404-S1-2025,2021-00050-SD-0,Absent
53,,CMPE304-S1-2025,2022-00051-SD-0,Present
54,,CMPE305-S1-2025,2022-00051-SD-0,Present
55,,CMPE306-S1-2025,2022-00051-SD-0,Present
56,,CMPE304-S1-2025,2022-00052-SD-0,Absent
57,,CMPE305-S1-2025,2022-00052-SD-0,Absent
58,,CMPE306-S1-2025,2022-00052-SD-0,Absent
59,,CMPE304-S1-2025,2022-00053-SD-0,Late
60,,CMPE305-S1-2025,2022-00053-SD-0,Late
61,,CMPE306-S1-2025,2022-00053-SD-0,Present
62,,CMPE304-S1-2025,2022-00054-SD-0,Present
63,,CMPE305-S1-2025,2022-00054-SD-0,Present
64,,CMPE306-S1-2025,2022-00054-SD-0,Late
65,,PATHFIT3-S1-2025,2023-00058-SD-0,Late
66,,MATH209-S1-2025,2023-00058-SD-0,Present
67,,GEED037-S1-2025,2021-00059-SD-0,Present
68,,CMPE403-S1-2025,2021-00059-SD-0,Present
69,,CMPE404-S1-2025,2021-00059-SD-0,Absent
70,,GEED037-S1-2025,2021-00060-SD-0,Absent
71,,CMPE403-S1-2025,2021-00060-SD-0,Absent
72,,CMPE404-S1-2025,2021-00060-SD-0,Present
73,,GEED037-S1-2025,2021-00062-SD-0,Present
74,,CMPE403-S1-2025,2021-00062-SD-0,Present
75,,CMPE404-S1-2025,2021-00062-SD-0,Present
76,,GEED037-S1-2025,2021-00063-SD-0,Absent
77,,CMPE403-S1-2025,2021-00063-SD-0,Absent
78,,CMPE404-S1-2025,2021-00063-SD-0,Absent
79,,MATH209-S1-2025,2024-00067-SD-0,Present
80,,PATHFIT3-S1-2025,2024-00067-SD-0,Present
81,,ENGL013-S1-2025,2024-00067-SD-0,Present
82,,CMPE203-S1-2025,2024-00067-SD-0,Present
